"id","venue","race_number","horse_name","horse_number","barrier","jockey","trainer","odds_open","odds_flag","odds_fixed_close","odds_tote","odds_place","move_percent","scratchings","result","created_at","updated_at"
4349,"Muswellbrook",1,"Miss Imagination",10,2,"P King","P M Perry",5.00,3.40,2.90,2.89,1.35,9.41,4,1,"2017-09-10 06:00:03","2017-09-10 06:00:03"
4454,"Sale",3,"Moonlight's Reward",10,6,"N Beriman","Ms S Trolove",10.00,6.00,7.50,0.00,1.90,6.67,2,4,"2017-09-10 06:25:04","2017-09-10 06:25:04"
4499,"Casterton",4,"Greycliffe",13,1,"L Meech","Matthew Cumani",18.00,7.50,3.60,3.62,1.55,7.78,4,1,"2017-09-10 06:35:03","2017-09-10 06:35:03"
4521,"Muswellbrook",2,"Spice Treasure",1,5,"A Skerritt","Matthew Smith",3.90,3.10,3.20,0.00,1.45,6.62,4,2,"2017-09-10 06:40:04","2017-09-10 06:40:04"
4632,"Sale",4,"Pretty Mama",9,2,"L Currie","N A Blackiston",4.20,3.00,6.00,0.00,2.25,9.52,6,NULL,"2017-09-10 07:05:04","2017-09-10 07:05:04"
4656,"Gundagai",3,"Save A Match",3,9,"P Scorse","Ms B Joseph & P A Jones",9.50,5.00,10.00,0.00,2.50,9.47,4,4,"2017-09-10 07:10:04","2017-09-10 07:10:04"
4702,"Muswellbrook",3,"Iggy The Moocher",6,2,"J Penza","Bjorn Baker",5.50,3.80,3.20,0.00,1.35,8.13,0,3,"2017-09-10 07:20:05","2017-09-10 07:20:05"
4747,"Sunshine Coast",4,"Mishani Electra",5,7,"M Pegus","Ben Currie",7.00,3.20,3.00,0.00,1.26,16.96,1,2,"2017-09-10 07:30:05","2017-09-10 07:30:05"
4790,"Devonport Synthetic",5,"The Austrian Oak",6,4,"H Mccarthy","Cameron Thompson",8.00,5.00,8.00,0.00,2.50,7.50,0,3,"2017-09-10 07:40:06","2017-09-10 07:40:06"
4811,"Sale",5,"Dallas Storm",16,4,"J Andreou","Rod Grantley",13.00,5.00,15.00,5.72,4.00,12.31,5,1,"2017-09-10 07:45:05","2017-09-10 07:45:05"
4831,"Gundagai",4,"Dream On Stan",7,1,"S Metcalfe","T G Sutherland",18.00,8.00,10.00,0.00,3.80,6.94,1,NULL,"2017-09-10 07:50:07","2017-09-10 07:50:07"
4850,"Casterton",6,"Solas",7,6,"D Yendall","E V Musgrove",12.00,6.50,7.50,6.67,2.50,7.05,2,1,"2017-09-10 07:55:09","2017-09-10 07:55:09"
4902,"Sunshine Coast",5,"Husson's Pride",6,1,"G Colless","Ms K Doughty",8.50,5.50,3.60,0.00,1.60,6.42,0,NULL,"2017-09-10 08:10:07","2017-09-10 08:10:07"
4919,"Devonport Synthetic",6,"Gee Gee Cats",11,2,"C Graham","L, D & T Wells",5.50,3.60,3.40,0.00,1.75,9.60,6,3,"2017-09-10 08:15:06","2017-09-10 08:15:06"
4935,"Kalgoorlie",1,"Ron's Lad",2,2,"S Mcgruddy","J L Eeles",34.00,10.00,9.50,0.00,3.40,7.06,0,NULL,"2017-09-10 08:20:06","2017-09-10 08:20:06"
4936,"Sale",6,"Buzz Punch",6,6,"J Mott","V L Malady",31.00,4.80,9.00,0.00,2.15,17.61,4,NULL,"2017-09-10 08:20:07","2017-09-10 08:20:07"
4950,"Gundagai",5,"Ghost Rider",8,9,"C Macfarlane","Todd Smart",17.00,7.00,4.80,0.00,1.75,8.40,0,2,"2017-09-10 08:25:06","2017-09-10 08:25:06"
4963,"Casterton",7,"Quedoutes",9,14,"J Eaton","Nathan Hobson",41.00,10.00,31.00,0.00,7.00,7.56,3,NULL,"2017-09-10 08:30:06","2017-09-10 08:30:06"
4988,"Muswellbrook",5,"Privily",3,6,"M Bell","J M Austin",4.80,3.60,3.60,0.00,1.40,6.94,0,3,"2017-09-10 08:40:06","2017-09-10 08:40:06"
5011,"Sunshine Coast",6,"Smooth Consul",4,7,"M Hellyer","K Wood & P Gesler",7.50,5.00,5.50,0.00,1.70,6.67,1,2,"2017-09-10 08:50:06","2017-09-10 08:50:06"
5012,"Sale",7,"Fierce Command",1,4,"T Stockdale","R J Besanko",18.00,8.00,10.00,11.08,3.60,6.94,5,1,"2017-09-10 08:50:07","2017-09-10 08:50:07"
